Index,Lat_Start,Lon_Start,Number
19395,54.38801,11.10216,3
19396,54.38969,11.10388,4
19397,54.39201,11.10585,5
19399,54.40437,11.11408,1
19401,54.40469,11.11426,2
19402,54.4047,11.11426,3
19403,54.40439,11.114,4
19404,54.4043,11.11468,5
19405,54.40438,11.11493,1
19406,54.4045,11.11509,2
19407,54.40511,11.11546,3
19408,54.4052,11.11559,4
19409,54.40515,11.11566,5
19410,54.4046,11.11893,1
19411,54.40453,11.11897,2
19412,54.40444,11.11916,3
19413,54.40406,11.12113,4
19414,54.40516,11.12606,5
19415,54.40497,11.13328,1
19416,54.40472,11.13402,2
19417,54.40475,11.13968,3
19418,54.40479,11.13976,4
19419,54.40728,11.14041,5
19420,54.40734,11.14048,1
19421,54.40788,11.14318,2
19422,54.40814,11.14345,3
19423,54.4081,11.149,4
19424,54.40859,11.15246,5
19425,54.40874,11.15729,1
19426,54.4091,11.15873,2
19427,54.41047,11.15792,3
19428,54.41092,11.16005,4
19429,54.41098,11.16013,5
19430,54.41113,11.1602,1
19431,54.41143,11.16025,2
19432,54.41406,11.16003,3
19433,54.41472,11.15969,4
19434,54.41506,11.1596,5
19435,54.41526,11.15961,1
19436,54.41613,11.1604,2
19437,54.41673,11.16114,3
19438,54.41689,11.1612,4
19439,54.41827,11.16069,5
19440,54.41838,11.16072,1
19441,54.42096,11.16513,2
19442,54.42192,11.16849,3
19443,54.42205,11.16876,4
19444,54.42234,11.16906,5
19445,54.42304,11.17043,1
19446,54.42474,11.17583,2
19447,54.42595,11.17807,3
19448,54.42773,11.18004,4
19449,54.42971,11.18519,5
19450,54.43242,11.1887,1
19451,54.43256,11.18897,2
19452,54.43818,11.18878,3
19453,54.43821,11.19062,4
19454,54.43838,11.1917,5
19455,54.43949,11.19214,1
19456,54.43956,11.19209,2
19457,54.44102,11.19269,3
19458,54.44089,11.19318,4
19459,54.4413,11.19346,5
19460,54.44152,11.19382,1
19461,54.44155,11.19414,2
19462,54.44125,11.19713,3
19463,54.4419,11.19749,4
19464,54.44203,11.19761,5
19465,54.44256,11.19862,1
19466,54.44417,11.19901,2
19467,54.44476,11.19931,3
19468,54.44773,11.2013,4
19469,54.45618,11.20976,5
19470,54.45661,11.20988,1
19471,54.45893,11.20972,2
19472,54.46525,11.20999,3
19473,54.4733,11.20939,4
19474,54.48072,11.21001,5
19475,54.48387,11.20989,1
19476,54.48777,11.21011,2
19477,54.48842,11.21001,3
19478,54.48991,11.2095,4
19479,54.49021,11.20952,5
19480,54.49217,11.21036,1
19481,54.49271,11.21036,2
19482,54.49256,11.21323,3
19483,54.49232,11.2147,4
19485,54.49083,11.22053,5
19486,54.49091,11.22077,1
19487,54.491,11.22089,2
19488,54.49812,11.22674,3
19489,54.49926,11.22801,4
