type,latitude,longitude
T,58.41606,-4.37481
T,58.41588,-4.37494
T,58.41559,-4.37502
T,58.41547,-4.37498
T,58.41523,-4.37479
T,58.41488,-4.37441
T,58.41478,-4.37435
T,58.41464,-4.37431
T,58.41451,-4.37431
T,58.41424,-4.3744
T,58.41402,-4.37442
T,58.41381,-4.37437
T,58.41263,-4.37379
T,58.41216,-4.37368
T,58.4111,-4.37372
T,58.40921,-4.37343
T,58.4089,-4.37334
T,58.40712,-4.37257
T,58.40686,-4.3724
T,58.40613,-4.37085
T,58.40572,-4.37037
T,58.40432,-4.36924
T,58.40406,-4.36922
T,58.40365,-4.36929
T,58.40342,-4.36927
T,58.40319,-4.36919
T,58.40236,-4.36847
T,58.40222,-4.36839
T,58.39992,-4.368
T,58.39967,-4.36792
T,58.39945,-4.36776
T,58.39893,-4.36697
T,58.39869,-4.3668
T,58.39855,-4.36678
T,58.39843,-4.3668
T,58.39766,-4.36725
T,58.39745,-4.36748
T,58.3966,-4.36886
T,58.39635,-4.36913
T,58.39605,-4.36932
T,58.39487,-4.36969
T,58.39471,-4.3697
T,58.39454,-4.36965
T,58.39423,-4.36942
T,58.39294,-4.36807
T,58.3925,-4.36786
T,58.39231,-4.36785
T,58.39196,-4.36791
T,58.3911,-4.3682
T,58.39082,-4.36823
T,58.39053,-4.3681
T,58.38879,-4.36553
T,58.38848,-4.36521
T,58.38806,-4.36496
T,58.3876,-4.3648
T,58.38727,-4.36462
T,58.38704,-4.36424
T,58.3867,-4.36325
T,58.38662,-4.36313
T,58.38646,-4.36302
T,58.38638,-4.36302
T,58.38629,-4.36306
T,58.38618,-4.36315
T,58.38572,-4.36377
T,58.38549,-4.364
T,58.38535,-4.36408
T,58.38495,-4.36421
T,58.38423,-4.36435
T,58.3813,-4.36425
T,58.37748,-4.36589
T,58.37691,-4.36621
T,58.37639,-4.36663
T,58.3733,-4.37036
T,58.37239,-4.37184
T,58.372,-4.37227
T,58.37172,-4.37272
T,58.36838,-4.38009
T,58.36751,-4.38573
T,58.3666,-4.39029
T,58.36555,-4.39768
T,58.36544,-4.39794
T,58.36529,-4.39817
T,58.36523,-4.39822
T,58.36505,-4.39828
T,58.36492,-4.39825
T,58.36478,-4.39817
T,58.36395,-4.39703
T,58.36367,-4.39683
T,58.36346,-4.3968
T,58.36318,-4.3969
T,58.36251,-4.3976
T,58.36223,-4.39802
T,58.36149,-4.39972
T,58.36041,-4.4031
T,58.35812,-4.40746
T,58.35732,-4.40931
T,58.35709,-4.40956
T,58.35643,-4.4101
T,58.35626,-4.41037
T,58.35615,-4.41063
T,58.35503,-4.41457
T,58.35431,-4.41624
T,58.35381,-4.41697
T,58.35189,-4.41937
T,58.35104,-4.42058
T,58.34931,-4.42384
T,58.3491,-4.42408
T,58.34897,-4.42415
T,58.34849,-4.42413
