type	latitude	longitude	color	opacity	width	scale	sym	name	desc
T	58.448180000	-4.387260000							
T	58.447750000	-4.386630000							
T	58.445300000	-4.382390000							
T	58.445000000	-4.382050000							
T	58.444680000	-4.381810000							
T	58.443920000	-4.381450000							
T	58.443800000	-4.381480000							
T	58.441240000	-4.383180000							
T	58.441020000	-4.383270000							
T	58.440720000	-4.383320000							
T	58.440050000	-4.383530000							
T	58.439190000	-4.384030000							
T	58.437740000	-4.385350000							
T	58.434720000	-4.387180000							
T	58.432850000	-4.388890000							
T	58.432660000	-4.388940000							
T	58.432560000	-4.388930000							
T	58.432470000	-4.388870000							
T	58.432350000	-4.388740000							
T	58.431020000	-4.385550000							
T	58.430700000	-4.384940000							
T	58.430520000	-4.384740000							
T	58.430310000	-4.384630000							
T	58.429950000	-4.384630000							
T	58.429350000	-4.384880000							
T	58.429140000	-4.384930000							
T	58.428970000	-4.384890000							
T	58.428840000	-4.384800000							
T	58.428700000	-4.384620000							
T	58.428580000	-4.384390000							
T	58.428020000	-4.381690000							
T	58.427850000	-4.381290000							
T	58.426890000	-4.379820000							
T	58.426320000	-4.378490000							
T	58.426110000	-4.378200000							
T	58.424310000	-4.376620000							
T	58.422640000	-4.374600000							
T	58.422390000	-4.374120000							
T	58.421960000	-4.372850000							
T	58.421840000	-4.372640000							
T	58.421600000	-4.372390000							
T	58.421490000	-4.372340000							
T	58.421210000	-4.372300000							
T	58.420800000	-4.372450000							
T	58.419970000	-4.372930000							
T	58.419720000	-4.373120000							
T	58.419230000	-4.373630000							
T	58.418910000	-4.373830000							
T	58.418000000	-4.374250000							
T	58.416450000	-4.374640000							
T	58.416060000	-4.374810000							
T	58.415880000	-4.374940000							
T	58.415590000	-4.375020000							
T	58.415470000	-4.374980000							
T	58.415230000	-4.374790000							
T	58.414880000	-4.374410000							
T	58.414780000	-4.374350000							
T	58.414640000	-4.374310000							
T	58.414510000	-4.374310000							
T	58.414240000	-4.374400000							
T	58.414020000	-4.374420000							
T	58.413810000	-4.374370000							
T	58.412630000	-4.373790000							
T	58.412160000	-4.373680000							
T	58.411100000	-4.373720000							
T	58.409210000	-4.373430000							
T	58.408900000	-4.373340000							
T	58.407120000	-4.372570000							
T	58.406860000	-4.372400000							
T	58.406130000	-4.370850000							
T	58.405720000	-4.370370000							
T	58.404320000	-4.369240000							
T	58.404060000	-4.369220000							
T	58.403650000	-4.369290000							
T	58.403420000	-4.369270000							
T	58.403190000	-4.369190000							
T	58.402360000	-4.368470000							
T	58.402220000	-4.368390000							
T	58.399920000	-4.368000000							
T	58.399670000	-4.367920000							
T	58.399450000	-4.367760000							
T	58.398930000	-4.366970000							
T	58.398690000	-4.366800000							
T	58.398550000	-4.366780000							
T	58.398430000	-4.366800000							
T	58.397660000	-4.367250000							
T	58.397450000	-4.367480000							
T	58.396600000	-4.368860000							
T	58.396350000	-4.369130000							
T	58.396050000	-4.369320000							
T	58.394870000	-4.369690000							
T	58.394710000	-4.369700000							
T	58.394540000	-4.369650000							
T	58.394230000	-4.369420000							
T	58.392940000	-4.368070000							
T	58.392500000	-4.367860000							
T	58.392310000	-4.367850000							
T	58.391960000	-4.367910000							
T	58.391100000	-4.368200000							
T	58.390820000	-4.368230000							
T	58.390530000	-4.368100000							
T	58.388790000	-4.365530000							
T	58.388480000	-4.365210000							
T	58.388060000	-4.364960000							
T	58.387600000	-4.364800000							
T	58.387270000	-4.364620000							
T	58.387040000	-4.364240000							
T	58.386700000	-4.363250000							
T	58.386620000	-4.363130000							
T	58.386460000	-4.363020000							
T	58.386380000	-4.363020000							
T	58.386290000	-4.363060000							
T	58.386180000	-4.363150000							
T	58.385720000	-4.363770000							
T	58.385490000	-4.364000000							
T	58.385350000	-4.364080000							
T	58.384950000	-4.364210000							
T	58.384230000	-4.364350000							
T	58.381300000	-4.364250000							
T	58.377480000	-4.365890000							
T	58.376910000	-4.366210000							
T	58.376390000	-4.366630000							
T	58.373300000	-4.370360000							
T	58.372390000	-4.371840000							
T	58.372000000	-4.372270000							
T	58.371720000	-4.372720000							
T	58.368380000	-4.380090000							
T	58.367510000	-4.385730000							
T	58.366600000	-4.390290000							
T	58.365550000	-4.397680000							
T	58.365440000	-4.397940000							
T	58.365290000	-4.398170000							
