Index,Lat_Start,Lon_Start,Elevation,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,PointSize
152,57.97254,-3.98396,12,57.96846,-4.00099,1.011811699,-0.069533219,1.011740489,-0.069830449,1.102023612,109.8100257,1
153,57.96846,-4.00099,28,57.95477,-4.07448,1.011740489,-0.069830449,1.011501554,-0.071113091,4.594498418,114.4045241,1
154,57.95477,-4.07448,1,57.9495,-4.08416,1.011501554,-0.071113091,1.011409575,-0.071282039,0.818293963,115.2228181,1
155,57.9495,-4.08416,13,57.94619,-4.08366,1.011409575,-0.071282039,1.011351804,-0.071273313,0.369235949,115.592054,1
156,57.94619,-4.08366,12,57.94377,-4.0775,1.011351804,-0.071273313,1.011309568,-0.0711658,0.452289216,116.0443432,1
157,57.94377,-4.0775,12,57.94127,-4.07814,1.011309568,-0.0711658,1.011265934,-0.07117697,0.280541757,116.324885,1
158,57.94127,-4.07814,24,57.93996,-4.08376,1.011265934,-0.07117697,1.01124307,-0.071275058,0.362278695,116.6871637,1
159,57.93996,-4.08376,32,57.93765,-4.08422,1.01124307,-0.071275058,1.011202753,-0.071283086,0.258291329,116.945455,1
160,57.93765,-4.08422,43,57.93703,-4.0842,1.011202753,-0.071283086,1.011191932,-0.071282737,0.068950874,117.0144059,1
161,57.93703,-4.0842,46,57.9323,-4.07497,1.011191932,-0.071282737,1.011109378,-0.071121643,0.757299152,117.771705,1
162,57.9323,-4.07497,78,57.93054,-4.07446,1.011109378,-0.071121643,1.01107866,-0.071112742,0.198005652,117.9697107,1
163,57.93054,-4.07446,79,57.92707,-4.07696,1.01107866,-0.071112742,1.011018098,-0.071156375,0.413115332,118.382826,1
164,57.92707,-4.07696,80,57.92483,-4.07559,1.011018098,-0.071156375,1.010979002,-0.071132464,0.261883351,118.6447094,1
165,57.92483,-4.07559,78,57.91286,-4.05815,1.010979002,-0.071132464,1.010770086,-0.070828079,1.682975136,120.3276845,1
